0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,system,distribution,future
-0.00079,-0.07461,-0.12134,-0.12866,-0.09793,-0.0363,0.04866,0.15074,0.26535,0.38919,0.51988,0.65574,0.79553,0.93833,1.08343,1.2303,1.37845,1.52748,1.67698,1.82653,1.97568,2.12388,2.27055,2.41494,2.55616,2.69314,2.82451,2.94848,3.06277,-3.11893,-3.03439,-2.97224,-2.93906,-2.94114,-2.98034,-3.04759,-3.1207,3.10903,3.0904,3.10874,-3.12419,-3.04877,-2.95418,-2.84511,-2.72508,-2.5967,-2.46195,-2.32235,-2.17911,-2.03318,-1.88538,-1.73635,-1.58668,-1.43685,-1.2873,-1.13846,-0.99072,-0.84455,-0.70044,-0.55902,-0.4211,-0.28774,-0.1604,-0.04109,0.06736,0.16104,0.23452,0.28081,0.29214,0.26349,0.19985,0.12203,0.05926,0.03183,0.04425,0.09132,0.16528,0.25918,0.36768,0.48691,0.61409,0.74724,0.88492,1.02609,1.16995,1.31587,1.46336,1.61195,1.76124,1.91079,2.06016,2.20884,2.35625,2.50172,2.64444,2.78342,2.91746,3.04502,-3.11909,-3.01115,-2.91792,-2.84416,-2.79594,-2.77999,-2.80111,-2.85648,-2.93004,-2.99602,-3.03288,-3.03242,-2.99695,-2.93289,-2.84678,-2.744,-2.62864,-2.50374,-2.37159,-2.23394,-2.09213,-1.94724,-1.80016,-1.65158,-1.50211,-1.35227,-1.20251,-1.05322,-0.90482,-0.75771,-0.61236,-0.46932,-0.32931,-0.19325,-0.06239,0.06152,0.1761,0.27799,0.36253,0.42346,0.45316,0.44458,0.39671,0.32244,0.24878,0.20231,0.1951,0.22569,0.28695,0.37134,0.47276,0.58666,0.7098,0.83985,0.97514,1.11445,1.25688,1.40171,1.54839,1.69644,1.84541,1.99486,2.14435,2.29339,2.44142,2.58781,2.73181,2.87255,3.00894,3.13962,-3.02031,-2.90677,-2.80601,-2.72214,-2.66058,-2.62789,-2.63036,-2.66985,-2.73727,-2.81038,-2.86362,-2.88179,-2.8628,-2.81175,-2.73545,-2.63994,-2.52996,-2.40907,-2.27991,-2.14448,-2.00433,-1.86067,-1.71444,-1.56644,-1.4173,-1.26756,-1.11769,-0.96808,-0.81913,-0.67124,-0.52482,-0.38038,X,0,-2.72081
1.24115,1.10965,1.08072,1.18461,1.37586,1.6167200000000002,1.88505,2.16737,2.45372,2.73374,2.99132,-3.09216,-3.05198,2.8719,2.43782,2.43097,2.62126,2.88465,-3.10338,-2.79334,-2.47727,-2.16175,-1.85421,-1.56753,-1.33341,-1.26229,-1.76335,-2.33773,-2.29772,-2.07266,-1.7897299999999998,-1.48427,-1.17021,-0.85541,-0.54656,-0.2525,0.0105,0.20407,0.21985,-0.1469,-0.51562,-0.50573,-0.32227,-0.07428,0.19885,0.47928,0.75567,1.01748,1.25107,1.4354,1.53846,1.52998,1.4443700000000002,1.40015,1.45873,1.5973700000000002,1.7797900000000002,1.9794,2.1773,2.35846,2.51073,2.62799,2.71706,2.80018,2.90312,3.03912,-3.07714,-2.8902400000000004,-2.69831,-2.51986,-2.37957,-2.30924,-2.32907,-2.3925,-2.39755,-2.30174,-2.12561,-1.89835,-1.64083,-1.36701,-1.0877,-0.81429,-0.56439,-0.37669,-0.35987,-0.7337100000000001,-1.11846,-1.104,-0.90737,-0.64054,-0.34217,-0.02834,0.29245,0.6140899999999999,0.92984,1.22802,1.47879,1.56458,0.90219,0.28794000000000003,0.38866,0.6450100000000001,0.94767,1.26844,1.5964,1.92547,2.2505,2.5646400000000003,2.85478,3.08697,3.13912,2.58576,2.0639,2.12577,2.35478,2.63588,2.93598,-3.04192,-2.74005,-2.44986,-2.18298,-1.96016,-1.82336,-1.84966,-2.06291,-2.22568,-2.1945900000000003,-2.04058,-1.82944,-1.59559,-1.35865,-1.13295,-0.93177,-0.76844,-0.65286,-0.5813,-0.5273,-0.45459,-0.34358,-0.19729,-0.0304,0.13885,0.2906,0.40421,0.4653100000000001,0.4852,0.51072,0.5885100000000001,0.73029,0.92378,1.15217,1.40091,1.6574799999999998,1.90856,2.13463,2.29735,2.30996,2.05795,1.7795599999999998,1.77158,1.93689,2.18094,2.4628400000000004,2.76403,3.07439,-2.89659,-2.59044,-2.30367,-2.06955,-2.01126,-2.61265,3.12288,-3.07994,-2.83598,-2.54043,-2.2239,-1.89836,-1.57031,-1.245,-0.92907,-0.6350100000000001,-0.39546,-0.3335,-0.94167,-1.49345,-1.41345,-1.17286,-0.88339,-0.57581,-0.26269000000000003,0.04833,0.35004,0.63222,0.8758,1.03771,1.01535,0.7079300000000001,0.45567,0.48111,0.65254,X,11,1.49199
0.6385,0.75539,0.77635,0.73428,0.66254,0.57945,0.494,0.4105,0.33086,0.25567,0.18473,0.11738,0.052620000000000014,-0.01078,-0.07428,-0.13965999999999998,-0.20909,-0.28534,-0.37200000000000005,-0.4738,-0.5968899999999999,-0.74852,-0.93531,-1.15836,-1.40627,-1.65451,-1.87782,-2.06345,-2.21161,-2.32856,-2.4214900000000004,-2.49646,-2.55811,-2.60987,-2.65426,-2.6931700000000003,-2.728,-2.75988,-2.78968,-2.81814,-2.8458900000000003,-2.87352,-2.90156,-2.9306,-2.96124,-2.99422,-3.03042,-3.071,-3.1175200000000003,3.11111,3.04596,2.96791,2.87736,2.77957,2.68193,2.58903,2.50212,2.42087,2.34448,2.27219,2.20332,2.13732,2.07376,2.01227,1.95256,1.89436,1.83745,1.78165,1.72678,1.67267,1.6191799999999998,1.56618,1.51351,1.46105,1.40867,1.3562299999999998,1.30359,1.25062,1.19716,1.14305,1.08812,1.03219,0.97506,0.91651,0.8562799999999999,0.79411,0.7296600000000001,0.6626,0.59251,0.51891,0.44127,0.35895,0.27121,0.17722000000000002,0.07597999999999999,-0.03365,-0.15292,-0.28327,-0.42622,-0.58333,-0.7560100000000001,-0.94518,-1.15041,-1.36811,-1.58929,-1.8007,-1.99307,-2.16606,-2.32395,-2.47078,-2.60888,-2.73903,-2.86111,-2.97461,-3.07905,3.10906,3.02333,2.94671,2.87878,2.81901,2.76685,2.72172,2.68311,2.65056,2.62365,2.60204,2.58542,2.57354,2.56619,2.56317,2.56432,2.56946,2.5784,2.59094,2.60682,2.62574,2.64736,2.67125,2.69691,2.7238,2.75133,2.77885,2.80572,2.83129,2.8549,2.87596,2.89386,2.90802,2.91783,2.9226400000000003,2.92167,2.91393,2.89807,2.87222,2.83382,2.77985,2.70841,2.62194,2.52796,2.43398,2.34381,2.2583900000000003,2.17746,2.1004400000000003,2.0267,1.9557,1.88699,1.82018,1.7549400000000002,1.6909999999999998,1.62811,1.56603,1.50458,1.44356,1.38278,1.32208,1.26127,1.20018,1.13863,1.07643,1.01338,0.94928,0.8839,0.8170000000000001,0.74832,0.67757,0.60444,0.5286,0.44967,0.36728,0.28101,0.19046,0.09525,-0.00499,-0.11052,-0.22157,-0.3383,-0.4608600000000001,-0.58941,-0.72413,X,14,2.36959
-3.01877,-2.98247,-2.94769,-2.91454,-2.88317,-2.85371,-2.82632,-2.80116,-2.77843,-2.7583,-2.74097,-2.72664,-2.71549,-2.70769,-2.70336,-2.7026,-2.70543,-2.71176,-2.72141,-2.73407,-2.74932,-2.76657,-2.78517,-2.80436,-2.82337,-2.84145,-2.85793,-2.8722,-2.88381,-2.89244,-2.89788,-2.90005,-2.89895,-2.89467,-2.88733,-2.87711,-2.8642,-2.84881,-2.83113,-2.81138,-2.78975,-2.76643,-2.74159,-2.71541,-2.68803,-2.6596,-2.63026,-2.60013,-2.56933,-2.53798,-2.50616,-2.47399,-2.44156,-2.40895,-2.37625,-2.34355,-2.31093,-2.27846,-2.24622,-2.2143,-2.18276,-2.15168,-2.12114,-2.09121,-2.06196,-2.03347,-2.00581,-1.97905,-1.95326,-1.92851,-1.90485,-1.88233,-1.86101,-1.84091,-1.82207,-1.8045,-1.78817,-1.77308,-1.7591599999999998,-1.74635,-1.73455,-1.72364,-1.71348,-1.7038799999999998,-1.69468,-1.68566,-1.6766,-1.6673,-1.65752,-1.64707,-1.63573,-1.62333,-1.60969,-1.59469,-1.5782,-1.56011,-1.54037,-1.51891,-1.4957,-1.47072,-1.44396,-1.41542,-1.38511,-1.35305,-1.31924,-1.2837,-1.24645,-1.20749,-1.16682,-1.12444,-1.0803200000000002,-1.03443,-0.98672,-0.93711,-0.88551,-0.8318,-0.77579,-0.71729,-0.65601,-0.5916,-0.5236,-0.45144,-0.37436,-0.29139,-0.20124,-0.10225,0.00775,0.13153,0.27251,0.43452,0.62107,0.8335299999999999,1.06847,1.31587,1.56096,1.7900900000000002,1.99548,2.17566,2.333,2.47125,2.59418,2.70499,2.80627,2.90001,2.98776,3.0707,-3.13343,-3.05755,-2.98429,-2.91319,-2.84391,-2.7761400000000003,-2.70966,-2.64427,-2.57982,-2.51616,-2.45319,-2.39081,-2.32895,-2.26752,-2.20648,-2.14576,-2.08533,-2.02515,-1.96517,-1.90538,-1.84573,-1.7862,-1.72678,-1.66743,-1.60815,-1.5489,-1.48968,-1.43047,-1.37125,-1.31201,-1.25272,-1.19338,-1.13398,-1.07448,-1.01489,-0.95519,-0.89535,-0.83536,-0.7752,-0.71486,-0.6543100000000001,-0.59353,-0.53249,-0.47118,-0.40956,-0.3476,-0.28526,-0.22252,-0.15933,-0.09564,-0.0314,0.03344,0.09894,0.16519,X,13,-1.31791
0.98883,0.06379,-0.64018,-0.8866700000000001,-0.99566,-1.0586799999999998,-1.1037,-1.14171,-1.17803,-1.21589,-1.25787,-1.30673,-1.36604,-1.43783,-1.47905,-1.38032,-1.22255,-1.0777,-0.96379,-0.87961,-0.81905,-0.7761600000000001,-0.74636,-0.72629,-0.71362,-0.7066899999999999,-0.70432,-0.70568,-0.71018,-0.71742,-0.72713,-0.7391399999999999,-0.75338,-0.76988,-0.78874,-0.81017,-0.83444,-0.8618,-0.89169,-0.91704,-0.89533,-0.8187399999999999,-0.7484,-0.69431,-0.6538,-0.62371,-0.6016199999999999,-0.5857600000000001,-0.57482,-0.56785,-0.56415,-0.5632,-0.56458,-0.56802,-0.57329,-0.58024,-0.58877,-0.5988100000000001,-0.61033,-0.62337,-0.63795,-0.65415,-0.67198,-0.69119,-0.71023,-0.71987,-0.68686,-0.6302399999999999,-0.5851,-0.55183,-0.52737,-0.50948,-0.49658,-0.48762,-0.48183,-0.47863,-0.47762,-0.47849,-0.48100000000000004,-0.48498,-0.49029,-0.49683,-0.50456,-0.51341,-0.5233899999999999,-0.5344800000000001,-0.54669,-0.56001,-0.5743199999999999,-0.58913,-0.60229,-0.60313,-0.5670000000000001,-0.52259,-0.48952,-0.46568,-0.44842,-0.43601,-0.4273,-0.42152,-0.41811,-0.41667,-0.4169100000000001,-0.4186,-0.42157,-0.42571,-0.4309,-0.43709,-0.44422,-0.4522600000000001,-0.46119,-0.47100000000000003,-0.48166,-0.4931100000000001,-0.5051399999999999,-0.51707,-0.5262600000000001,-0.52075,-0.48442,-0.44829,-0.42244,-0.40407,-0.39096,-0.38171,-0.37542,-0.37147,-0.36944,-0.36902,-0.36996,-0.37211,-0.37531,-0.37949,-0.38454,-0.39043,-0.39711,-0.40455,-0.41272,-0.4216,-0.43114,-0.44125,-0.45164,-0.46146,-0.46755,-0.45683,-0.42182,-0.39174,-0.37074,-0.35598,-0.3456,-0.33842,-0.33372,-0.33098,-0.32986,-0.33009,-0.33149,-0.33391,-0.33725,-0.34141,-0.34634000000000004,-0.35199,-0.35831,-0.36528,-0.37286,-0.38104,-0.38973,-0.39881,-0.40792,-0.41605,-0.41944,-0.4043,-0.37149,-0.34603,-0.32853000000000004,-0.31636,-0.30792,-0.30222,-0.29864,-0.29677,-0.29628000000000004,-0.29698,-0.2987,-0.30131,-0.30472,-0.30887,-0.31368,-0.31912,-0.32515,-0.33175,-0.33887,-0.34648,-0.3545,-0.36275,-0.37082,-0.3775,-0.37834,-0.35951,-0.32936,-0.30753,-0.29269,-0.28247,X,14,-0.23343000000000005
-2.49775,-2.14773,-1.77125,-1.45,-1.33401,-1.6528900000000002,-1.8319,-1.63216,-1.30541,-0.96713,-0.70643,-0.68382,-0.95729,-1.00426,-0.78245,-0.46992,-0.16459,0.03613,-0.017,-0.22398,-0.18035,0.05977,0.36043,0.63451,0.78333,0.70562,0.58934,0.69294,0.94255,1.23287,1.48564,1.61131,1.55495,1.50594,1.63905,1.892,2.17788,2.42506,2.55262,2.52176,2.50223,2.64542,2.90196,-3.09003,-2.8325400000000003,-2.6889999999999996,-2.70993,-2.73624,-2.59517,-2.32871,-2.01681,-1.7277,-1.5496299999999998,-1.58316,-1.67492,-1.54964,-1.2547,-0.8876200000000001,-0.5135,-0.21858,-0.25667,-0.7134199999999999,-0.62967,-0.21159,0.36129,1.09895,2.0959,-3.0691,-2.20242,-1.59763,-1.45036,-2.6145400000000003,-2.4601900000000003,-2.05322,-1.62669,-1.23509,-0.93272,-0.80862,-0.88344,-0.88845,-0.70077,-0.4139100000000001,-0.10869,0.15450999999999998,0.3165,0.35849000000000003,0.39348,0.5382600000000001,0.77686,1.05056,1.3050700000000002,1.48948,1.5773700000000002,1.63078,1.7555599999999998,1.97,2.2314700000000003,2.4899,2.69613,2.81371,2.87378,2.9794400000000003,-3.10567,-2.8453,-2.5712,-2.33379,-2.18258,-2.12034,-2.04395,-1.86347,-1.59352,-1.28428,-0.98771,-0.7653399999999999,-0.67607,-0.65409,-0.51361,-0.2205,0.16516,0.59078,1.0089,1.34591,1.47613,1.46145,1.66552,2.07457,2.55952,3.04802,-2.7908,-2.44373,-2.26355,-2.23786,-2.15804,-1.93063,-1.6196700000000002,-1.29088,-0.9951,-0.78084,-0.67405,-0.6091,-0.47382,-0.24883,0.02276,0.2926,0.516,0.66041,0.74588,0.8559399999999999,1.04161,1.28518,1.54519,1.7788099999999998,1.94892,2.05177,2.14916,2.3097,2.53767,2.79818,3.04872,-3.03608,-2.91393,-2.82813,-2.6924,-2.47501,-2.20376,-1.92218,-1.6773900000000002,-1.51567,-1.43631,-1.3379,-1.13418,-0.83796,-0.4957,-0.15477,0.12814,0.28503,0.33813000000000004,0.48303,0.79708,1.2184,1.68323,2.13986,2.52992,2.77542,2.85168,2.94483,-3.09522,-2.75581,-2.3888,-2.04448,-1.77055,-1.61012,-1.53906,-1.43395,-1.2293,-0.95686,-0.66735,-0.40723,-0.21813,-0.11145,X,11,-1.25849
-2.27878,-2.11824,-1.97092,-1.84712,-1.75036,-1.67936,-1.63074,-1.60081,-1.58636,-1.58471,-1.59374,-1.61158,-1.63642,-1.66629,-1.69881,-1.73111,-1.7598,-1.78095,-1.7897299999999998,-1.7795599999999998,-1.73977,-1.65073,-1.47385,-1.14554,-0.6611,-0.22012,0.05217,0.20529,0.29452,0.34926,0.38423,0.40713,0.42229,0.43226,0.43867,0.44263,0.445,0.44656,0.4481,0.45061,0.45541,0.46443,0.48057,0.50837,0.55495,0.6312800000000001,0.75264,0.93362,1.1694,1.41602,1.61766,1.75367,1.83439,1.8771400000000005,1.89579,1.89959,1.8944,1.88392,1.87047,1.85557,1.84022,1.82513,1.81083,1.7977599999999998,1.78634,1.77699,1.7701900000000002,1.7665099999999998,1.76666,1.77155,1.78232,1.80044,1.82774,1.86645,1.91904,1.98785,2.0742,2.17689,2.29074,2.40634,2.51243,2.5997,2.66341,2.70338,2.72257,2.72535,2.71627,2.69936,2.67781,2.6539900000000003,2.62956,2.60567,2.58311,2.56248,2.54422,2.52876,2.5165,2.5079,2.50349,2.50392,2.50999,2.52264,2.54305,2.57253,2.61251,2.66435,2.72897,2.80631,2.8946400000000003,2.99007,3.08676,-3.10522,-3.0256,-2.96178,-2.91571,-2.88744,-2.87561,-2.87798,-2.89175,-2.91387,-2.9413400000000003,-2.97149,-3.00216,-3.03171,-3.05895,-3.08297,-3.10307,-3.1186,-3.12887,-3.13308,-3.13023,-3.11904,-3.0979,-3.0648,-3.0173400000000004,-2.9529400000000003,-2.86937,-2.7657700000000003,-2.64424,-2.51106,-2.37622,-2.2505900000000003,-2.14246,-2.05591,-1.99137,-1.9472,-1.92097,-1.91018,-1.91256,-1.926,-1.94846,-1.97779,-2.01158,-2.04716,-2.08174,-2.11251,-2.13673,-2.15153,-2.15343,-2.13746,-2.09565,-2.01416,-1.86865,-1.62222,-1.25571,-0.8513200000000001,-0.53772,-0.33726,-0.21378000000000005,-0.13613,-0.0859,-0.05277,-0.03078,-0.01636,-0.007240000000000002,-0.00191,0.00073,0.00164,0.00179,0.00238,0.0051600000000000005,0.01286,0.02995,0.06405,0.12819,0.24403,0.44107,0.73146,1.05449,1.31155,1.47413,1.56641,1.61541,1.63883,1.6471,1.64631,1.64013,1.63081,1.6198,1.60806,X,10,3.08238
0.55108,1.06824,1.50606,1.77475,1.93224,2.0297,2.09381,2.1381,2.1697900000000003,2.193,2.21023,2.22303,2.23245,2.23915,2.24361,2.24614,2.24694,2.24613,2.24378,2.23987,2.23438,2.22719,2.2181900000000003,2.20717,2.19392,2.17818,2.15973,2.13849,2.11484,2.09038,2.06965,2.06339,2.09293,2.19358,2.41381,2.78008,-3.08925,-2.77608,-2.57937,-2.45624,-2.37438,-2.3159400000000003,-2.27131,-2.23518,-2.20445,-2.17727,-2.15248,-2.12936,-2.10745,-2.08645,-2.06617,-2.04647,-2.02728,-2.00851,-1.99012,-1.97204,-1.95421,-1.93655,-1.91895,-1.90129,-1.88339,-1.8650400000000005,-1.84595,-1.82575,-1.80391,-1.77975,-1.75226,-1.72003,-1.68091,-1.63161,-1.56684,-1.47778,-1.34948,-1.15753,-0.8719100000000001,-0.49525,-0.11606,0.17175,0.36008,0.47823,0.55102,0.59349,0.6141,0.6174,0.6056600000000001,0.57986,0.54073,0.49033,0.4335100000000001,0.37705,0.32639,0.28395,0.25001,0.2241,0.20568000000000006,0.19446,0.19055,0.19455,0.20771,0.23233,0.27228,0.33426,0.4300600000000001,0.58041,0.8184600000000001,1.17253,1.59323,1.95148,2.1955,2.353,2.45741,2.52985,2.58238,2.62198,2.65285,2.67765,2.69807,2.7153,2.73014,2.74316,2.7548,2.76536,2.77509,2.78416,2.79271,2.80085,2.80866,2.81621,2.82355,2.83073,2.83779,2.84478,2.85177,2.85888,2.86632,2.87445,2.88395,2.89608,2.91337,2.94096,2.99006,3.08629,-2.99565,-2.60546,-2.12125,-1.80399,-1.65074,-1.57736,-1.53937,-1.5176,-1.50359,-1.49341,-1.48515,-1.47782,-1.47092,-1.46418,-1.45744,-1.45062,-1.44368,-1.43657,-1.42926,-1.4217,-1.41383,-1.40559,-1.39687,-1.38756,-1.37749,-1.36643,-1.35411,-1.34012,-1.32392,-1.30475,-1.2815,-1.25251,-1.21522,-1.16549,-1.09626,-0.99487,-0.83793,-0.58477,-0.19503,0.26859,0.6412,0.87749,1.02113,1.1107200000000002,1.16799,1.20465,1.2271299999999998,1.23915,1.24285,1.23946,1.22957,1.21336,1.19061,1.16087,1.12353,1.0782,1.02561,0.9690000000000001,X,10,-2.00799
-3.07513,-3.10504,-3.11218,-3.09194,-3.04626,-2.9799900000000004,-2.89842,-2.80642,-2.7082,-2.60756,-2.50815,-2.4138,-2.32894,-2.25902,-2.21092,-2.19292,-2.21299,-2.2737,-2.3639,-2.45704,-2.52531,-2.55532,-2.54837,-2.51229,-2.45567,-2.38588,-2.30891,-2.2297,-2.1526400000000003,-2.0818,-2.02117,-1.97456,-1.9451,-1.93418,-1.93998,-1.95642,-1.97399,-1.98276,-1.97572,-1.9501,-1.90657,-1.84777,-1.77702,-1.69773,-1.61312,-1.52617,-1.43975,-1.35671,-1.27997,-1.21255,-1.15752,-1.11766,-1.09477,-1.0886,-1.09578,-1.10958,-1.12148,-1.12386,-1.11205,-1.08487,-1.04367,-0.99126,-0.93104,-0.86659,-0.8015,-0.73941,-0.68404,-0.63915,-0.60826,-0.59405,-0.59711,-0.6146199999999999,-0.63976,-0.6631,-0.67575,-0.67211,-0.65049,-0.6121800000000001,-0.56,-0.49733,-0.42749,-0.35364,-0.27871,-0.20545,-0.13649,-0.07429,-0.02107,0.02149,0.05268,0.07325,0.08581,0.09467,0.10497,0.12144,0.14735,0.18406,0.2313,0.28762,0.35091,0.41872,0.48839,0.55716,0.6221300000000001,0.6802600000000001,0.72844,0.7637,0.78377,0.78795,0.77822,0.7598199999999999,0.74045,0.7280399999999999,0.7283,0.74373,0.77396,0.81681,0.86931,0.92821,0.99032,1.05256,1.11201,1.16591,1.21184,1.24794,1.27335,1.28879,1.29684,1.30186,1.30903,1.3231,1.34733,1.38305,1.43,1.48678,1.55136,1.62144,1.69461,1.76843,1.84043,1.9081,1.96893,2.0205,2.06071,2.08828,2.10335,2.10806,2.10675,2.10515,2.10893,2.12226,2.1471,2.1833400000000003,2.22941,2.28291,2.34101,2.40069,2.45883,2.51226,2.55781,2.59255,2.6142,2.62197,2.6173900000000003,2.60494,2.59138,2.58399,2.5884,2.60744,2.6413,2.68838,2.74617,2.81183,2.8825,2.95542,3.02793,3.09744,-3.12171,-3.06549,-3.01904,-2.9836,-2.95915,-2.94398,-2.93451,-2.92581,-2.91277,-2.89133,-2.85923,-2.81603,-2.76273,-2.70122,-2.63387,-2.56334,-2.49249,-2.42434,-2.36217,-2.30952,-2.27006,-2.24716,-2.24296,-2.2568,X,13,-0.4402
-2.19696,-2.21848,-2.24006,-2.26209,-2.28492,-2.30888,-2.33427,-2.36135,-2.39032,-2.42138,-2.45468,-2.49033,-2.52844,-2.56907,-2.61226,-2.65801,-2.70631,-2.75706,-2.81013,-2.86535,-2.92245,-2.98115,-3.04109,-3.10192,3.11994,3.05847,2.99718,2.93636,2.87626,2.81705,2.75889,2.70185,2.64601,2.59139,2.5380000000000003,2.48584,2.43486,2.38505,2.33635,2.28873,2.24214,2.19653,2.15185,2.10806,2.06511,2.02295,1.98155,1.94087,1.90086,1.86151,1.82276,1.7846099999999998,1.74702,1.70997,1.67345,1.63745,1.60196,1.5669799999999998,1.53252,1.49858,1.4652,1.4324,1.40024,1.36878,1.33809,1.30828,1.27949,1.25187,1.22563,1.20102,1.17835,1.15799,1.14039,1.12608,1.11565,1.10977,1.10916,1.11446,1.12622,1.14467,1.16965,1.20034,1.2353299999999998,1.2726,1.30985,1.34481,1.37561,1.40096,1.4202,1.4332,1.44022,1.44176,1.43843,1.43085,1.41963,1.4053,1.38834,1.36914,1.34807,1.32539,1.30135,1.27613,1.24991,1.22281,1.1949299999999998,1.16635,1.13716,1.10739,1.07709,1.04629,1.01502,0.98329,0.9511,0.91847,0.8854,0.8518700000000001,0.81788,0.78342,0.74848,0.71305,0.6771,0.64061,0.60358,0.56597,0.52778,0.48898,0.44957,0.40952,0.36884,0.32754,0.28562,0.24312,0.20008,0.15659,0.11274,0.0687,0.02464,-0.01916,-0.06241,-0.1047,-0.14559,-0.18455,-0.22099,-0.2543,-0.28384000000000004,-0.30899,-0.32916,-0.34382,-0.35255,-0.35505,-0.35119,-0.34106,-0.32497,-0.30353,-0.27764,-0.24847,-0.21739,-0.18585,-0.15529,-0.12700999999999998,-0.10207,-0.08127000000000001,-0.06515,-0.053979999999999986,-0.04785,-0.04671,-0.05041,-0.05874,-0.07147,-0.08835,-0.10918,-0.13372,-0.16180999999999998,-0.19327,-0.22797,-0.26578,-0.30663,-0.35042,-0.3971,-0.4466100000000001,-0.49891,-0.55396,-0.61173,-0.6721699999999999,-0.73524,-0.80089,-0.86905,-0.93965,-1.0126,-1.08779,-1.16511,-1.24442,-1.32559,-1.40846,-1.49287,-1.57867,-1.66569,-1.7537599999999998,-1.8427,-1.9323,X,10,1.50289
