0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
 104.99991, 104.53313, 103.16404, 100.90473,  97.77522,  93.80324,  89.02394,  83.47953,  77.21887,  70.29691,  62.77422,  54.71632,  46.19306,  37.27797,  28.04755,  18.58055,   8.95728,  -0.74113, -10.43338, -20.03874, -29.47771, -38.67262, -47.54826, -56.03247, -64.05666, -71.55631, -78.47144, -84.74700, -90.33327, -95.18617, -99.26756,-102.54549,-104.99436,-106.59514,-107.33544,-107.20957,-106.21864,-104.37049,-101.67963, -98.16721, -93.86082, -88.79436, -83.00778, -76.54686, -69.46288, -61.81230, -53.65635, -45.06061, -36.09457, -26.83109, -17.34587,  -7.71689,   1.97621,  11.65279,  21.23184,  30.63265,  39.77557,  48.58264,  56.97832,  64.89022,  72.24972,  78.99268,  85.06004,  90.39844,  94.96071,  98.70641, 101.60220, 103.62223, 104.74839, 104.97053, 104.28655, 102.70243, 100.23219,  96.89770,  92.72851,  87.76150,  82.04052,  75.61594,  68.54411,  60.88684,  52.71074,  44.08663,  35.08880,  25.79436,  16.28249,   6.63377,  -3.07056, -12.74929, -22.32191, -31.70931, -40.83436, -49.62252, -58.00245, -65.90650, -73.27117, -80.03765, -86.15213, -91.56622, -96.23723,-100.12849,-103.20956,-105.45641,-106.85158,-107.38429,-107.05049,-105.85288,-103.80093,-100.91075, -97.20505, -92.71295, -87.46981, -81.51703, -74.90172, -67.67644, -59.89883, -51.63121, -42.94014, -33.89596, -24.57227, -15.04537,  -5.39369,   4.30282,  13.96339,  23.50699,  32.85313,  41.92249,  50.63762,  58.92368,  66.70912,  73.92634,  80.51236,  86.40944,  91.56565,  95.93540,  99.47991, 102.16761, 103.97450, 104.88435, 104.88894, 103.98810, 102.18977,  99.50984,  95.97208,  91.60781,  86.45562,  80.56097,  73.97572,  66.75757,  58.96956,  50.67935,  41.95867,  32.88254,  23.52864,  13.97655,   4.30707,  -5.39851, -15.05908, -24.59441, -33.92580, -42.97669, -51.67327, -59.94502, -67.72525, -74.95156, -81.56629, -87.51690, -92.75635, -97.24336,-100.94274,-103.82557,-105.86939,-107.05833,-107.38322,-106.84163,-105.43790,-103.18308,-100.09489, -96.19758, -91.52180, -86.10438, -79.98810, -73.22143, -65.85817, -57.95713, -49.58167, -40.79932, -31.68124, -22.30174, -12.73768,  -3.06791,   6.62737,  16.26724,  25.77077,  35.05767,  44.04900,  52.66788,  60.84019,  68.49528,  75.56659,  81.99234
  50.87374,  46.55099,  38.88952,  28.43472,  15.93183,   2.27711, -11.54228, -24.51673, -35.68734, -44.21842, -49.46373, -51.02004, -48.76229, -42.85604, -33.74535, -22.11681,  -8.84359,   5.08479,  18.63998,  30.83229,  40.78218,  47.78069,  51.33570,  51.20220,  47.39595,  40.19069,  30.09950,  17.84135,   4.29405,  -9.56434, -22.72301, -34.21111, -43.17072, -48.92441, -51.03099, -49.32365, -43.92594, -35.24315, -23.92973, -10.83584,   3.06118,  16.73372,  29.18184,  39.50596,  46.96912,  51.04544,  51.45278,  48.16882,  41.43065,  31.71832,  19.72352,   6.30437,  -7.57159, -20.89388, -32.68125, -42.05501, -48.30771, -50.96101, -49.80671, -44.92613, -36.68514, -25.70488, -12.81107,   1.03278,  14.80146,  27.48633,  38.16906,  46.08572,  50.67736,  51.62508,  48.86845,  42.60753,  33.28872,  21.57546,   8.30499,  -5.56711, -19.03220, -31.10020, -40.87309, -47.61465, -50.81024, -50.21070, -45.85503, -38.06902, -27.43945, -14.76616,  -0.99723,  12.84620,  25.74833,  36.77347,  45.13179,  50.23201,  51.71882,  49.49375,  43.71956,  34.80833,  23.39436,  10.29283,  -3.55402, -17.14090, -29.47048, -39.62688, -46.84636, -50.57896, -50.53500, -46.71114, -39.39258, -29.13067, -16.69802,  -3.02569,  10.87095,  23.97050,  35.32132,  44.10876,  49.71002,  51.73384,  50.04379,  44.76506,  36.27486,  25.17746,  12.26484,  -1.53543, -15.22295, -27.79467, -38.31837, -46.00410, -50.26755, -50.77910, -47.49311, -40.65369, -30.77585, -18.60360,  -5.04940,   8.87877,  22.15556,  33.81478,  43.01814,  49.11216,  51.67010,  50.51773,  45.74246,  37.68609,  26.92205,  14.21801,   0.48553, -13.28136, -26.07544, -36.94966, -45.08924, -49.87654, -50.94263, -48.19968, -41.85034, -32.37236, -20.47987,  -7.06519,   6.87275,  20.30630,  32.25613,  41.86157,  48.43930,  51.52768,  50.91484,  46.65027,  39.03989,  28.62548,  16.14936,   2.50574, -11.31914, -24.31549, -35.52296, -44.10326, -49.40658, -51.02534, -48.82974, -42.98061, -33.91764, -22.32386,  -9.06991,   4.85601,  18.42554,  30.64775,  40.64078,  47.69244,  51.30676,  51.23451,  47.48713,  40.33422,  30.28518,  18.05592,   4.52209,  -9.33938, -22.51762, -34.04053, -43.04777, -48.85844, -51.02712, -49.38228, -44.04269, -35.40924
  65.43342,  62.08046,  56.63146,  49.27825,  40.27871,  29.94487,  18.62906,   6.70916,  -5.42609, -17.39103, -28.81553, -39.35572, -48.70278, -56.58991, -62.79750, -67.15682, -69.55241, -69.92336, -68.26370, -64.62200, -59.10023, -51.85190, -43.07939, -33.03038, -21.99318, -10.29086,   1.72610,  13.68862,  25.21941,  35.94481,  45.50779,  53.58161,  59.88352,  64.18749,  66.33524,  66.24449,  63.91363,  59.42249,  52.92885,  44.66113,  34.90772,  24.00396,  12.31769,   0.23438, -11.85725, -23.57836, -34.57162, -44.51091, -53.10908, -60.12396, -65.36274, -68.68490, -70.00399, -69.28842, -66.56143, -61.90028, -55.43473, -47.34475, -37.85742, -27.24276, -15.80844,  -3.89316,   8.14145,  19.92055,  31.06724,  41.21506,  50.02142,  57.18139,  62.44100,  65.60917,  66.56736,  65.27600,  61.77713,  56.19288,  48.71986,  39.62000,  29.20849,  17.83985,   5.89318,  -6.24260, -18.18249, -29.55782, -40.02682, -49.28331, -57.06352, -63.15119, -67.38110, -69.64146, -69.87504, -68.07959, -64.30730, -58.66371, -51.30569, -42.43882, -32.31368, -21.22112,  -9.48630,   2.53876,  14.48405,  25.97217,  36.63014,  46.10254,  54.06520,  60.23876,  64.40148,  66.39997,  66.15728,  63.67732,  59.04532,  52.42412,  44.04654,  34.20457,  23.23620,  11.51092,  -0.58514, -12.66350, -24.34646, -35.27850, -45.13590, -53.63437, -60.53497, -65.64832, -68.83750, -70.01975, -69.16719, -66.30674, -61.51925, -54.93794, -46.74609, -37.17378, -26.49378, -15.01607,  -3.08117,   8.94809,  20.69635,  31.78701,  41.85478,  50.55920,  57.59836,  62.72216,  65.74416,  66.55098,  65.10851,  61.46429,  55.74568,  48.15404,  38.95530,  28.46774,  17.04802,   5.07633,  -7.05822, -18.97138, -30.29598, -40.69239, -49.85710, -57.52942, -63.49641, -67.59641, -69.72127, -69.81748, -67.88646, -63.98408, -58.21937, -50.75261, -41.79252, -31.59257, -20.44613,  -8.68041,   3.35105,  15.27740,  26.72114,  37.31006,  46.69042,  54.54062,  60.58484,  64.60560,  66.45448,  66.05986,  63.43119,  58.65909,  51.91139,  43.42528,  33.49628,  22.46498,  10.70246,  -1.40457, -13.46795, -25.11113, -35.98047, -45.75468, -54.15238, -60.93782, -65.92512, -68.98094, -70.02623, -69.03682, -66.04327, -61.13004, -54.43382, -46.14113
  84.25075,  81.58853,  77.62834,  72.42979,  66.07186,  58.65202,  50.28518,  41.10227,  31.24863,  20.88210,  10.17077,  -0.70945, -11.57761, -22.25066, -32.54663, -42.28792, -51.30464, -59.43796, -66.54337, -72.49369, -77.18185, -80.52320, -82.45744, -82.94991, -81.99239, -79.60322, -75.82682, -70.73259, -64.41334, -56.98311, -48.57470, -39.33679, -29.43091, -19.02821,  -8.30622,   2.55439,  13.37288,  23.97149,  34.17813,  43.82903,  52.77097,  60.86338,  67.98015,  74.01118,  78.86367,  82.46324,  84.75473,  85.70285,  85.29261,  83.52948,  80.43942,  76.06863,  70.48310,  63.76793,  56.02640,  47.37881,  37.96096,  27.92250,  17.42485,   6.63893,  -4.25739, -15.08215, -25.65229, -35.78690, -45.31051, -54.05647, -61.87027, -68.61272, -74.16290, -78.42080, -81.30951, -82.77696, -82.79704, -81.37021, -78.52336, -74.30919, -68.80493, -62.11056, -54.34650, -45.65107, -36.17746, -26.09070, -15.56436,  -4.77734,   6.08931,  16.85552,  27.34507,  37.38832,  46.82469,  55.50485,  63.29278,  70.06739,  75.72410,  80.17600,  83.35487,  85.21197,  85.71858,  84.86636,  82.66746,  79.15446,  74.38006,  68.41657,  61.35511,  53.30466,  44.39072,  34.75381,  24.54764,  13.93700,   3.09536,  -7.79776, -18.55970, -29.00773, -38.96235, -48.25059, -56.70941, -64.18892, -70.55557, -75.69500, -79.51447, -81.94501, -82.94290, -82.49065, -80.59736, -77.29842, -72.65468, -66.75101, -59.69429, -51.61109, -42.64489, -32.95310, -22.70386, -12.07286,  -1.24004,   9.61356,  20.30879,  30.67129,  40.53412,  49.74011,  58.14408,  65.61468,  72.03604,  77.30922,  81.35329,  84.10629,  85.52595,  85.59017,  84.29725,  81.66603,  77.73567,  72.56534,  66.23355,  58.83737,  50.49130,  41.32591,  31.48624,  21.12985,  10.42462,  -0.45370, -11.32423, -22.00396, -32.31083, -42.06711, -51.10269, -59.25845, -66.38949, -72.36822, -77.08704, -80.46077, -82.42850, -82.95498, -82.03136, -79.67536, -75.93079, -70.86650, -64.57475, -57.16912, -48.78200, -39.56175, -29.66961, -19.27655,  -8.55998,   2.29945,  13.12098,  23.72674,  33.94449,  43.61022,  52.57045,  60.68429,  67.82527,  73.88289,  78.76395,  82.39362,  84.71627,  85.69615,  85.31779,  83.58617,  80.52678,  76.18535,  70.62741,  63.93762
 120.77327, 118.81087, 116.20807, 112.97988, 109.14495, 104.72543,  99.74674,  94.23742,  88.22882,  81.75493,  74.85203,  67.55844,  59.91425,  51.96101,  43.74143,  35.29912,  26.67826,  17.92341,   9.07915,   0.18990,  -8.70034, -17.54819, -26.31114, -34.94768, -43.41751, -51.68168, -59.70273, -67.44482, -74.87383, -81.95747, -88.66537, -94.96912,-100.84235,-106.26081,-111.20235,-115.64703,-119.57708,-122.97697,-125.83341,-128.13536,-129.87402,-131.04289,-131.63771,-131.65650,-131.09952,-129.96930,-128.27061,-126.01045,-123.19804,-119.84481,-115.96435,-111.57244,-106.68697,-101.32795, -95.51745, -89.27956, -82.64037, -75.62788, -68.27195, -60.60426, -52.65819, -44.46874, -36.07244, -27.50725, -18.81238, -10.02823,  -1.19617,   7.64161,  16.44225,  25.16245,  33.75868,  42.18737,  50.40521,  58.36933,  66.03760,  73.36889,  80.32334,  86.86264,  92.95032,  98.55199, 103.63564, 108.17191, 112.13430, 115.49940, 118.24716, 120.36098, 121.82795, 122.63891, 122.78859, 122.27565, 121.10267, 119.27621, 116.80668, 113.70831, 109.99898, 105.70014, 100.83653,  95.43605,  89.52950,  83.15032,  76.33433,  69.11946,  61.54544,  53.65355,  45.48628,  37.08705,  28.49998,  19.76955,  10.94036,   2.05688,  -6.83676, -15.69707, -24.48132, -33.14777, -41.65586, -49.96634, -58.04144, -65.84495, -73.34240, -80.50111, -87.29028, -93.68109, -99.64676,-105.16255,-110.20591,-114.75640,-118.79581,-122.30814,-125.27961,-127.69872,-129.55621,-130.84508,-131.56061,-131.70033,-131.26405,-130.25380,-128.67390,-126.53088,-123.83349,-120.59270,-116.82164,-112.53565,-107.75217,-102.49077, -96.77308, -90.62278, -84.06555, -77.12898, -69.84255, -62.23758, -54.34707, -46.20572, -37.84973, -29.31676, -20.64580, -11.87699,  -3.05150,   5.78861,  14.60062,  23.34130,  31.96716,  40.43462,  48.70028,  56.72116,  64.45496,  71.86032,  78.89709,  85.52660,  91.71198,  97.41837, 102.61326, 107.26670, 111.35156, 114.84379, 117.72259, 119.97064, 121.57424, 122.52344, 122.81213, 122.43816, 121.40328, 119.71322, 117.37759, 114.40981, 110.82704, 106.64996, 101.90266,  96.61239,  90.80935,  84.52645,  77.79905,  70.66465,  63.16263,  55.33396,  47.22090,  38.86672,  30.31539,  21.61134,  12.79918,   3.92342
  65.52724,  62.23032,  56.84757,  49.57393,  40.66841,  30.44104,  19.23845,   7.42899,  -4.61153, -16.51280, -27.92109, -38.50854, -47.98037, -56.08046, -62.59536, -67.35706, -70.24492, -71.18674, -70.15937, -67.18885, -62.35017, -55.76655, -47.60821, -38.09045, -27.47076, -16.04472,  -4.14051,   7.88842,  19.67248,  30.83703,  41.01522,  49.86216,  57.06965,  62.38063,  65.60206,  66.61518,  65.38204,  61.94773,  56.43789,  49.05189,  40.05238,  29.75220,  18.49979,   6.66438,  -5.37819, -17.25836, -28.62379, -39.14853, -48.54013, -56.54507, -62.95273, -67.59808, -70.36352, -71.17999, -70.02745, -66.93510, -61.98100, -55.29143, -47.03955, -37.44344, -26.76314, -15.29652,  -3.37359,   8.65088,  20.40661,  31.51908,  41.62239,  50.37354,  57.46720,  62.65000,  65.73337,  66.60355,  65.22787,  61.65668,  56.02056,  48.52327,  39.43106,  29.05948,  17.75875,   5.89893,  -6.14419, -18.00181, -29.32306, -39.78391, -49.09424, -57.00318, -63.30293, -67.83144, -70.47419, -71.16522, -69.88764, -66.67376, -61.60477, -54.80995, -46.46541, -36.79200, -26.05232, -14.54646,  -2.60625,   9.41225,  21.13813,  32.19702,  42.22405,  50.87818,  57.85696,  62.91081,  65.85566,  66.58276,  65.06476,  61.35722,  55.59565,  47.98815,  38.80453,  28.36299,  17.01544,   5.13274,  -6.90942, -18.74308, -30.01882, -40.41460, -49.64264, -57.45473, -63.64591, -68.05712, -70.57691, -71.14243, -69.73994, -66.40488, -61.22151, -54.32216, -45.88586, -36.13622, -25.33838, -13.79462,  -1.83859,  10.17242,  21.86693,  32.87076,  42.82012,  51.37599,  58.23887,  63.16302,  65.96890,  66.55283,  64.89272,  61.04938,  55.16322,  47.44661,  38.17287,  27.66280,  16.26996,   4.36590,  -7.67380, -19.48207, -30.71100, -41.04052, -50.18528, -57.89968, -63.98164, -68.27510, -70.67168, -71.11164, -69.58438, -66.12846, -60.83126, -53.82811, -45.30096, -35.47617, -24.62139, -13.04110,  -1.07070,  10.93132,  22.59293,  33.54020,  43.41051,  51.86690,  58.61289,  63.40660,  66.07309,  66.51375,  64.71178,  60.73322,  54.72333,  46.89873,  37.53618,  26.95902,  15.52239,   3.59851,  -8.43724, -20.21870, -31.39951, -41.66163, -50.72208, -58.33798, -64.31009, -68.48536, -70.75847, -71.07283, -69.42096, -65.84455
 103.48073, 101.24529,  98.14267,  94.20120,  89.45715,  83.95415,  77.74259,  70.87894,  63.42493,  55.44679,  47.01436,  38.20025,  29.07903,  19.72639,  10.21838,   0.63071,  -8.96197, -18.48657, -27.87221, -37.05060, -45.95647, -54.52796, -62.70683, -70.43875, -77.67347, -84.36496, -90.47151, -95.95584,-100.78512,-104.93101,-108.36967,-111.08175,-113.05241,-114.27124,-114.73231,-114.43407,-113.37937,-111.57539,-109.03365,-105.76993,-101.80423, -97.16078, -91.86795, -85.95820, -79.46803, -72.43789, -64.91212, -56.93880, -48.56965, -39.85986, -30.86789, -21.65525, -12.28624,  -2.82760,   6.65179,  16.08137,  25.38936,  34.50330,  43.35058,  51.85910,  59.95799,  67.57824,  74.65355,  81.12102,  86.92201,  92.00284,  96.31560,  99.81881, 102.47808, 104.26666, 105.16588, 105.16553, 104.26401, 102.46847,  99.79471,  96.26698,  91.91764,  86.78673,  80.92137,  74.37508,  67.20707,  59.48145,  51.26635,  42.63312,  33.65544,  24.40856,  14.96843,   5.41102,  -4.18841, -13.75593, -23.21949, -32.50945, -41.55900, -50.30454, -58.68598, -66.64705, -74.13541, -81.10293, -87.50575, -93.30435, -98.46370,-102.95321,-106.74679,-109.82288,-112.16437,-113.75866,-114.59760,-114.67744,-113.99886,-112.56689,-110.39088,-107.48449,-103.86564, -99.55646, -94.58324, -88.97643, -82.77052, -76.00400, -68.71930, -60.96263, -52.78394, -44.23670, -35.37776, -26.26715, -16.96782,  -7.54533,   1.93245,  11.39574,  20.77332,  29.99299,  38.98213,  47.66832,  55.97999,  63.84709,  71.20190,  77.97971,  84.11967,  89.56554,  94.26643,  98.17758, 101.26100, 103.48607, 104.83004, 105.27845, 104.82540, 103.47369, 101.23481,  98.12884,  94.18415,  89.43704,  83.93115,  77.71693,  70.85084,  63.39465,  55.41459,  46.98052,  38.16507,  29.04279,  19.68939,  10.18093,   0.59308,  -8.99946, -18.52366, -27.90862, -37.08606, -45.99074, -54.56080, -62.73802, -70.46809, -77.70077, -84.39004, -90.49423, -95.97605,-100.80271,-104.94587,-108.38172,-111.09093,-113.05865,-114.27453,-114.73262,-114.43141,-113.37376,-111.56687,-109.02227,-105.75575,-101.78735, -97.14130, -91.84599, -85.93389, -79.44152, -72.40935, -64.88173, -56.90676, -48.53617, -39.82516, -30.83220, -21.61882, -12.24932,  -2.79046,   6.68887
  63.00858,  59.58148,  53.88989,  46.13362,  36.58739,  25.59764,  13.57743,   0.99858, -11.62018, -23.73008, -34.77488, -44.21903, -51.58027, -56.46392, -58.59503, -57.84346, -54.23781, -47.96518, -39.35650, -28.85976, -17.00532,  -4.36854,   8.46601,  20.93513,  32.52111,  42.76883,  51.29686,  57.80365,  62.07022,  63.96061,  63.42114,  60.47901,  55.24070,  47.89026,  38.68720,  27.96351,  16.11902,   3.61428,  -9.04048, -21.30103, -32.61053, -42.42660, -50.25320, -55.67481, -58.38942, -58.23546, -55.20832, -49.46315, -41.30306, -31.15453, -19.53400,  -7.01055,   5.83041,  18.41908,  30.22675,  40.78429,  49.69444,  56.63884,  61.38138,  63.76902,  63.73120,  61.27856,  56.50137,  49.56783,  40.72208,  30.28148,  18.63235,   6.22347,  -6.44406, -18.83147, -30.38247, -40.54924, -48.82340, -54.77003, -58.06121, -58.50466, -56.06268, -50.85795, -43.16470, -33.38649, -22.02420,  -9.63911,   3.18393,  15.86960,  27.87895,  38.72939,  48.00809,  55.38005,  60.59205,  63.47394,  63.93823,  61.97893,  57.67002,  51.16377,  42.68886,  32.54781,  21.11317,   8.82153,  -3.83578, -16.32628, -28.09538, -38.59110, -47.29420, -53.75179, -57.61130, -58.65053, -56.79895, -52.14641, -44.93729, -35.55084, -24.47079, -12.24907,   0.53148,  13.29114,  25.48160,  36.60734,  46.24033,  54.02906,  59.70329,  63.07571,  64.04186,  62.57905,  58.74491,  52.67570,  44.58451,  34.75888,  23.55734,  11.40389,  -1.22048, -13.79039, -25.75399, -36.55645, -45.66911, -52.62255, -57.04086, -58.67284, -57.41551, -53.32562, -46.61688, -37.64290, -26.86871, -14.83526,  -2.12196,  10.68828,  23.03871,  34.42151,  44.39381,  52.58782,  58.71630,  62.57481,  64.04186,  63.07801,  59.72444,  54.10133,  46.40611,  36.91118,  25.96081,  13.96605,   1.39705, -11.22872, -23.36311, -34.44970, -43.95182, -51.38501, -56.35134, -58.57166, -57.91100, -54.39292, -48.19969, -39.65809, -29.21291, -17.39251,  -4.77138,   8.06569,  20.55443,  32.17541,  42.47135,  51.05840,  57.63244,  61.97187,  63.93814,  63.47500,  60.60713,  55.43854,  48.15088,  39.00132,  28.31963,  16.50362,   4.01206,  -8.64616, -20.92757, -32.27535, -42.14620, -50.04210, -55.54449, -58.34734, -58.28436, -55.34589, -49.68218, -41.59199
 110.48430, 108.37318, 105.49769, 101.87711,  97.53580,  92.50302,  86.81284,  80.50395,  73.61951,  66.20691,  58.31754,  50.00653,  41.33243,  32.35688,  23.14425,  13.76124,   4.27644,  -5.24010, -14.71741, -24.08408, -33.26883, -42.20106, -50.81144, -59.03249, -66.79918, -74.04954, -80.72523, -86.77210, -92.14075, -96.78702,-100.67244,-103.76467,-106.03782,-107.47276,-108.05732,-107.78643,-106.66219,-104.69384,-101.89767, -98.29685, -93.92118, -88.80676, -82.99562, -76.53527, -69.47823, -61.88150, -53.80596, -45.31586, -36.47815, -27.36190, -18.03771,  -8.57709,   0.94810,  10.46626,  19.90654,  29.19939,  38.27701,  47.07384,  55.52696,  63.57647,  71.16585,  78.24226,  84.75685,  90.66499,  95.92650, 100.50583, 104.37224, 107.49991, 109.86807, 111.46110, 112.26854, 112.28519, 111.51108, 109.95150, 107.61695, 104.52309, 100.69070,  96.14557,  90.91836,  85.04450,  78.56400,  71.52128,  63.96491,  55.94739,  47.52487,  38.75684,  29.70577,  20.43675,  11.01708,   1.51581,  -7.99668, -17.44925, -26.77047, -35.88919, -44.73512, -53.23941, -61.33521, -68.95835, -76.04783, -82.54647, -88.40145, -93.56484, -97.99408,-101.65245,-104.50944,-106.54109,-107.73027,-108.06687,-107.54788,-106.17750,-103.96701,-100.93472, -97.10577, -92.51179, -87.19067, -81.18607, -74.54700, -67.32735, -59.58528, -51.38274, -42.78479, -33.85908, -24.67519, -15.30403,  -5.81728,   3.71322,  13.21604,  22.62064,  31.85794,  40.86074,  49.56421,  57.90627,  65.82796,  73.27379,  80.19206,  86.53513,  92.25962,  97.32667, 101.70213, 105.35666, 108.26591, 110.41059, 111.77656, 112.35490, 112.14191, 111.13916, 109.35345, 106.79677, 103.48631,  99.44428,  94.69790,  89.27924,  83.22508,  76.57672,  69.37980,  61.68407,  53.54313,  45.01411,  36.15742,  27.03631,  17.71657,   8.26605,  -1.24577, -10.74823, -20.17005, -29.43982, -38.48659, -47.24042, -55.63298, -63.59814, -71.07258, -77.99636, -84.31351, -89.97257, -94.92711, -99.13624,-102.56498,-105.18470,-106.97340,-107.91598,-108.00436,-107.23764,-105.62206,-103.17097, -99.90469, -95.85026, -91.04117, -85.51703, -79.32309, -72.50985, -65.13247, -57.25029, -48.92622, -40.22612, -31.21828, -21.97271, -12.56063,  -3.05379,   6.47601,  15.95754
  65.54864,  62.24443,  56.84367,  49.52317,  40.52276,  30.13946,  18.72002,   6.65162,  -5.64912, -17.74910, -29.21324, -39.62043, -48.58015, -55.74920, -60.84741, -63.67133, -64.10488, -62.12583, -57.80773, -51.31680, -42.90410, -32.89350, -21.66649,  -9.64482,   2.72765,  15.00292,  26.74570,  37.54845,  47.04423,  54.91724,  60.91093,  64.83395,  66.56408,  66.05036,  63.31350,  58.44492,  51.60423,  43.01534,  32.96100,  21.77582,   9.83743,  -2.44406, -14.63849, -26.30983, -37.03173, -46.40407, -54.06974, -59.73073, -63.16242, -64.22514, -62.87181, -59.15111, -53.20568, -45.26547, -35.63671, -24.68748, -12.83077,  -0.50644,  11.83691,  23.75915,  34.84416,  44.71333,  53.03663,  59.54140,  64.01886,  66.32848,  66.40062,  64.23734,  59.91181,  53.56618,  45.40805,  35.70546,  24.78026,  12.99981,   0.76689, -11.49228, -23.34175, -34.35108, -44.11169, -52.25366, -58.46210, -62.49202, -64.18069, -63.45640, -60.34284, -54.95860, -47.51175, -38.28994, -27.64665, -15.98490,  -3.73929,   8.64215,  20.71550,  32.05699,  42.27706,  51.03209,  58.03374,  63.05606,  65.94044,  66.59858,  65.01386,  61.24106,  55.40462,  47.69552,  38.36659,  27.72639,  16.13132,   3.97601,  -8.31820, -20.31646, -31.58536, -41.70901, -50.30580, -57.04498, -61.66203, -63.97175, -63.87812, -61.37978, -56.57091, -49.63706, -40.84630, -30.53644, -19.09927,  -6.96292,   5.42635,  17.62193,  29.19335,  39.74093,  48.90805,  56.39120,  61.94760,  65.40072,  66.64373,  65.64131,  62.42971,  57.11547,  49.87260,  40.93835,  30.60742,  19.22462,   7.17561,  -5.12400, -17.24151, -28.74163, -39.20230, -48.23135, -55.48322, -60.67475, -63.59898, -64.13590, -62.25920, -58.03838, -51.63580, -43.29914, -33.34943, -22.16604, -10.16937,   2.19730,  14.48577,  26.25991,  37.11070,  46.66925,  54.61737,  60.69583,  64.71042,  66.53591,  66.11824,  63.47511,  58.69491,  51.93443,  43.41492,  33.41675,  22.27248,  10.35809,  -1.91743, -14.12453, -25.82710, -36.59804, -46.03578, -53.78103, -59.53293, -63.06346, -64.22914, -62.97883, -59.35711, -53.50271, -45.64204, -36.07835, -25.17741, -13.35064,  -1.03713,  11.31453,  23.26351,  34.39239,  44.32069,  52.71613,  59.30343,  63.87097,  66.27525,  66.44356
